fnkCourseId	fldCRN	fnkTeacherNetId	fldMaxStudents	fldNumStudents	fldSection	fldType	fldStart	fldStop	fldDays	fldBuilding	fldRoom
29	91424	djonatha	19	19	B	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	322
29	92650	djonatha	1	1	ZRB	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	322
192	92941	rvandenb	50	50	E	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	003
192	93362	rvandenb	2	0	ZRE	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	003
195	92942	jpencak	51	51	A	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	002
195	93364	jpencak	2	0	ZRA	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	002
203	92357	tichitte	50	20	A	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	004
203	93380	tichitte	2	0	ZRA	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	004
239	90125	jleonard	64	64	A	LEC	13:10:00	14:00:00	M       	KALKIN	001
239	90126	jleonard	64	61	B	LEC	13:10:00	14:00:00	  W     	KALKIN	001
2256	91424	djonatha	19	19	B	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	322
2256	92650	djonatha	1	1	ZRB	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	322
2419	92941	rvandenb	50	50	E	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	003
2419	93362	rvandenb	2	0	ZRE	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	003
2422	92942	jpencak	51	51	A	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	002
2422	93364	jpencak	2	0	ZRA	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	002
2430	92357	tichitte	50	20	A	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	004
2430	93380	tichitte	2	0	ZRA	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	004
2466	90125	jleonard	64	64	A	LEC	13:10:00	14:00:00	M       	KALKIN	001
2466	90126	jleonard	64	61	B	LEC	13:10:00	14:00:00	  W     	KALKIN	001
